"","...1","alpha_code","taxonomy","common_name","scientific_name","exposure_model","iucn_status","propOR","propCA","propALL","CV","DV","iucn_value","rescaled_propALL","rescaled_DV","rescaled_CV","highest_sens","highest_sens_source","rescaled_sensitivity","es","est","bin"
"1",1,"RNPH","Scolopacidae (Sandpipers & Allies)","Red-necked Phalarope","Phalaropus lobatus","PHAL","LC",0.0006714222130487,0.00157545982958461,0.00224688204263331,0.15311,0.195,0.5623413,0.258530092376933,0.230363157894737,0.963900050365147,0.963900050365147,"CV",1.46728344485411,0.379336924541278,0.213316819284544,"(0.204,0.408]"
"2",2,"REPH","Scolopacidae (Sandpipers & Allies)","Red Phalarope","Phalaropus fulicarius","PHAL","LC",0.0006714222130487,0.00157545982958461,0.00224688204263331,0.15886,0.195,0.5623413,0.258530092376933,0.230363157894737,1.0001,1.0001,"CV",1.5,0.387795138565399,0.218073222354547,"(0.204,0.408]"
"3",3,"SOSH","Procellariidae (Petrels, Shearwaters)","Sooty Shearwater","Ardenna grisea","STTS-SOSH-FFSH","NT",0.00102025206097582,0.00357310932822506,0.00459336138920088,2e-05,0.209,0.7498942,0.546573802599379,0.248784210526316,1e-04,0.248784210526316,"DV",0.820980700077382,0.448726543101995,0.336497432058236,"(0.204,0.408]"
"4",4,"CAAU","Alcidae (Auks)","Cassin's Auklet","Ptychoramphus aleuticus","CAAU","NT",0.00220824318424478,0.00410675640230409,0.00631499958654887,0.00082,0.518,0.7498942,0.757914701359137,0.655363157894737,0.00513651473180559,0.655363157894737,"DV",1.18843597796896,0.900733099326795,0.675454526933187,"(0.611,0.816]"
"5",5,"NOFU","Procellariidae (Petrels, Shearwaters)","Northern Fulmar","Fulmarus glacialis","NOFU","LC",0.00307835619807441,0.00358269780749659,0.006661054005571,0.00059,0.137,0.5623413,0.800394853140493,0.154047368421053,0.00368851674641148,0.154047368421053,"DV",0.735360052801675,0.588578401467582,0.330981943433202,"(0.204,0.408]"
"6",6,"COMU","Alcidae (Auks)","Common Murre","Uria aalge","COMU","LC",0.00022316193865587,0.00057517279975101,0.00079833473840689,0.00012,0.326,0.5623413,0.0807126568420979,0.402731578947368,0.000729564341475699,0.402731578947368,"DV",0.960114251900405,0.0774933721428449,0.0435777236321912,"(-0.000734,0.204]"
"7",7,"CAGU","Laridae (Gulls, Terns, Skimmers)","California Gull","Larus californicus","CAGU","LC",0.00083754112948995,0.00252487134488712,0.00336241247437707,0.04989,0.129,0.5623413,0.395467809257139,0.143521052631579,0.314063737093931,0.314063737093931,"CV",0.879978606217852,0.348003211594124,0.195696578412015,"(-0.000734,0.204]"
"8",8,"WEGU","Laridae (Gulls, Terns, Skimmers)","Western Gull","Larus occidentalis","WEGU-WGWH-GWGU","LC",0.00051181196507788,0.00131684235460472,0.00182865431968261,0.02582,0.077,0.5623413,0.207190256288955,0.0751,0.16252760010073,0.16252760010073,"CV",0.743024261459329,0.15394738716067,0.0865709738275343,"(-0.000734,0.204]"
"9",9,"GWGU","Laridae (Gulls, Terns, Skimmers)","Glaucous-winged Gull","Larus glaucescens","WEGU-WGWH-GWGU","LC",0.00051181196507788,0.00131684235460472,0.00182865431968261,0.06577,0.127,0.5623413,0.207190256288955,0.14088947368421,0.414038554520272,0.414038554520272,"CV",0.970333196777277,0.201043583725965,0.113055110229118,"(-0.000734,0.204]"
"10",10,"BFAL","Diomedeidae (Albatrosses)","Black-footed Albatross","Phoebastria nigripes","BFAL","NT",0.0020889310609865,0.0024915093998692,0.00458044046085571,0.01043,0.131,0.7498942,0.544987685020503,0.146152631578947,0.0656376479476203,0.146152631578947,"DV",0.728224998862033,0.396873656303878,0.297613252995071,"(0.204,0.408]"
"11",11,"RHAU","Alcidae (Auks)","Rhinoceros Auklet","Cerorhinca monocerata","RHAU","LC",0.00139240849711234,0.00326113051825271,0.00465353901536505,2e-05,0.408,0.5623413,0.553960949108068,0.510626315789474,1e-04,0.510626315789474,"DV",1.05762665574218,0.585883866016931,0.329466694864987,"(0.204,0.408]"
"12",12,"PFSH","Procellariidae (Petrels, Shearwaters)","Pink-footed Shearwater","Ardenna creatopus","PFSH","VU",0.00235201323543947,0.00593589109138031,0.00828790432681978,6e-05,0.204,1,1.0001,0.242205263157895,0.00035182573659028,0.242205263157895,"DV",0.815034821794347,0.815116325276526,0.815116325276526,"(0.611,0.816]"
"13",13,"LESP","Hydrobatidae (Northern Storm-petrels)","Leach's Storm-Petrel","Hydrobates leucorhous","LESP","VU",0.00034773941257846,0.00025469856798204,0.0006024379805605,0.00756,0.228,1,0.0566652135807014,0.273784210526316,0.0475691513472677,0.273784210526316,"DV",0.843575037552915,0.0478013596742842,0.0478013596742842,"(-0.000734,0.204]"
"14",14,"BLKI","Laridae (Gulls, Terns, Skimmers)","Black-legged Kittiwake","Rissa tridactyla","BLKI","VU",0.00099073860269589,0.00129656139693838,0.00228729999963427,0.02823,0.093,1,0.263491626903626,0.0961526315789474,0.177700100730295,0.177700100730295,"CV",0.756736765442214,0.199393801464157,0.199393801464157,"(-0.000734,0.204]"
"15",15,"FTSP","Hydrobatidae (Northern Storm-petrels)","Fork-tailed Storm-Petrel","Hydrobates furcatus","FTSP","LC",0.00097813653475592,0.00052761720436627,0.0015057537391222,0.00615,0.227,0.5623413,0.167552370111241,0.272468421052632,0.0386922941324603,0.272468421052632,"DV",0.842385861896308,0.141143747708927,0.0793709585735099,"(-0.000734,0.204]"
"16",16,"HERG","Laridae (Gulls, Terns, Skimmers)","Herring Gull","Larus argentatuss","HERG-ICGU","LC",0.00102434506445323,0.00192564164524694,0.00294998670970017,0.03688,0.055,0.5623413,0.344840196607302,0.0461526315789474,0.232157416267943,0.232157416267943,"CV",0.805953844052984,0.277925282039642,0.156288864405039,"(-0.000734,0.204]"
"17",17,"ICGU","Laridae (Gulls, Terns, Skimmers)","Iceland Gull","Larus glaucoides","HERG-ICGU","LC",0.00102434506445323,0.00192564164524694,0.00294998670970017,0.04989,0.055,0.5623413,0.344840196607302,0.0461526315789474,0.314063737093931,0.314063737093931,"CV",0.879978606217852,0.303451995578384,0.170643589681143,"(-0.000734,0.204]"
"18",18,"SAGU","Laridae (Gulls, Terns, Skimmers)","Sabine's Gull","Xema sabini","SAGU","LC",0.00254332703793564,0.00362383455789399,0.00616716159582963,0.01333,0.155,0.5623413,0.739766745605385,0.177731578947368,0.0838950138504155,0.177731578947368,"DV",0.756765214620602,0.559829740007243,0.314815383774335,"(0.204,0.408]"
"19",19,"PALO","Gaviidae (Loons)","Pacific Loon","Gavia pacifica","LOON","LC",0.00047660063456988,0.00095341047416072,0.00143001110873062,0.00231,0.532,0.5623413,0.15825453064297,0.673784210526316,0.0145170234197935,0.673784210526316,"DV",1.20508443716145,0.190710071988134,0.107244149804901,"(-0.000734,0.204]"
"20",20,"YBLO","Gaviidae (Loons)","Yellow-billed Loon","Gavia adamsii","LOON","NT",0.00047660063456988,0.00095341047416072,0.00143001110873062,0.00203,0.464,0.7498942,0.15825453064297,0.58431052631579,0.0127542432636615,0.58431052631579,"DV",1.12422049251218,0.177912986381723,0.133415916592333,"(-0.000734,0.204]"
"21",21,"POJA","Stercorariidae (Skuas)","Pomarine Jaeger","Stercorarius pomarinus","POJA","LC",0.0020952294111473,0.00489404384179849,0.00698927325294579,0.01383,0.02,0.5623413,0.840685635975871,1e-04,0.087042835557794,0.087042835557794,"CV",0.674803131685557,0.567297299919582,0.319014701123267,"(0.204,0.408]"
"22",22,"ASSP","Hydrobatidae (Northern Storm-petrels)","Ashy Storm-Petrel","Hydrobates homochroa","ASSP","EN",0.00073365751426768,0.00211329712939167,0.00284695464365936,0.00619,0.369,1.3335214,0.332192423415652,0.459310526315789,0.0389441198690506,0.459310526315789,"DV",1.01124880513451,0.335929191253814,0.447968765421654,"(0.408,0.611]"
"23",23,"BOGU","Laridae (Gulls, Terns, Skimmers)","Bonaparte's Gull","Chroicocephalus philadelphia","BOGU","LC",0.00144177865495689,0.00314325204494928,0.00458503069990617,0.01333,0.2,0.5623413,0.545551163019504,0.236942105263158,0.0838950138504155,0.236942105263158,"DV",0.810278119167918,0.442048170281314,0.248581942738616,"(0.204,0.408]"
"24",24,"BULS","Procellariidae (Petrels, Shearwaters)","Buller's Shearwater","Ardenna bulleri","BULS","VU",0.0027671733756649,0.00285985759555669,0.00562703097122159,4e-05,0.181,1,0.673462633726262,0.211942105263158,0.00022591286829514,0.211942105263158,"DV",0.787683781692385,0.530475594162015,0.530475594162015,"(0.408,0.611]"
"25",25,"SUSC","Anatidae (Ducks, Geese, & Waterfowl)","Surf Scoter","Melanitta perspicillata","SCOT","LC",7.94889168880278e-05,0.00019795973676074,0.00027744865364877,0.00019,0.736,0.5623413,0.0167709218865151,0.942205263157895,0.00117025938050869,0.942205263157895,"DV",1.44767627110929,0.0242788656597354,0.013653008877621,"(-0.000734,0.204]"
"26",26,"WWSC","Anatidae (Ducks, Geese, & Waterfowl)","White-winged Scoter","Melanitta deglandi","SCOT","LC",7.94889168880278e-05,0.00019795973676074,0.00027744865364877,3e-04,0.736,0.5623413,0.0167709218865151,0.942205263157895,0.00186278015613196,0.942205263157895,"DV",1.44767627110929,0.0242788656597354,0.013653008877621,"(-0.000734,0.204]"
"27",27,"BLSC","Anatidae (Ducks, Geese, & Waterfowl)","Black Scoter","Melanitta americana","SCOT","NT",7.94889168880278e-05,0.00019795973676074,0.00027744865364877,0.00027,0.78,0.7498942,0.0167709218865151,1.0001,0.00167391085368925,1.0001,"DV",1.5,0.0251563828297727,0.0188646255770261,"(-0.000734,0.204]"
"28",28,"PAJA","Stercorariidae (Skuas)","Parasitic Jaeger","Stercorarius parasiticus","PAJA-LTJA","LC",0.00140288679913512,0.00121573438429612,0.00261862118343125,0.01379,0.037,0.5623413,0.304163190109915,0.0224684210526316,0.0867910098212037,0.0867910098212037,"CV",0.674575538258455,0.205181047686805,0.11538177709156,"(-0.000734,0.204]"
"29",29,"LTJA","Stercorariidae (Skuas)","Long-tailed Jaeger","Stercorarius longicaudus","PAJA-LTJA","LC",0.00140288679913512,0.00121573438429612,0.00261862118343125,0.01544,0.037,0.5623413,0.304163190109915,0.0224684210526316,0.0971788214555528,0.0971788214555528,"CV",0.683963767126405,0.208036601328763,0.116987572838798,"(-0.000734,0.204]"
"30",30,"BRPE","Pelecanidae (Pelicans)","Brown Pelican","Pelecanus occidentalis","BRPE","LC",0.00018487220047867,0.00072407467770233,0.000908946878181,0.01108,0.553,0.5623413,0.0942909272763912,0.701415789473684,0.0697298161672123,0.701415789473684,"DV",1.2300571259502,0.115983227008777,0.065222158654311,"(-0.000734,0.204]"
"31",31,"ARTE","Laridae (Gulls, Terns, Skimmers)","Arctic Tern","Sterna paradisaea","COTE-ARTE","LC",0.00067401427759354,0.00161939399595206,0.00229340827354561,0.00273,0.288,0.5623413,0.264241452331688,0.352731578947368,0.0171611936539914,0.352731578947368,"DV",0.914925576949338,0.2417612632285,0.135952343053557,"(-0.000734,0.204]"
"32",32,"CLGR","Podicipedidae (Grebes)","Clark's Grebe","Aechmophorus clarkii","WEGR-CLGR","LC",0.00015633933124399,0.00032461966223041,0.00048095899347441,0.00137,0.342,0.5623413,0.0417529757186775,0.423784210526316,0.00859911860992193,0.423784210526316,"DV",0.979141062406118,0.0408820530038027,0.0229896668328273,"(-0.000734,0.204]"
"33",33,"WEGR","Podicipedidae (Grebes)","Western Grebe","Aechmophorus occidentalis","WEGR-CLGR","LC",0.00015633933124399,0.00032461966223041,0.00048095899347441,0.00142,0.342,0.5623413,0.0417529757186775,0.423784210526316,0.00891390078065978,0.423784210526316,"DV",0.979141062406118,0.0408820530038027,0.0229896668328273,"(-0.000734,0.204]"
"34",34,"BVSH","Procellariidae (Petrels, Shearwaters)","Black-vented Shearwater","Puffinus opisthomelas","BVSH","NT",0.00037781445538064,0.00080500989988511,0.00118282435526576,4e-05,0.228,0.7498942,0.127910948164815,0.273784210526316,0.00022591286829514,0.273784210526316,"DV",0.843575037552915,0.107902482901563,0.0809154460934813,"(-0.000734,0.204]"
"35",35,"HEEG","Laridae (Gulls, Terns, Skimmers)","Heermann's Gull","Larus heermanni","HEEG","NT",0.00027636901844406,0.00054264281723031,0.00081901183567437,0.04989,0.144,0.7498942,0.0832508883514728,0.163257894736842,0.314063737093931,0.314063737093931,"CV",0.879978606217852,0.0732590006979271,0.0549364997211715,"(-0.000734,0.204]"
"36",36,"SPSK","Stercorariidae (Skuas)","South Polar Skua","Stercorarius maccormicki","SPSK","LC",0.00379000422686904,0.00408548208563882,0.00787548631250786,0.0124,0.038,0.5623413,0.949473338751627,0.0237842105263158,0.0780400654746915,0.0780400654746915,"CV",0.666666666666667,0.632982225834418,0.35595204775262,"(0.204,0.408]"
"37",37,"BLSP","Hydrobatidae (Northern Storm-petrels)","Black Storm-Petrel","Hydrobates melania","BLSP","LC",0.00044258307844947,0.00139148088760557,0.00183406396605504,0.00591,0.279,0.5623413,0.207854321205778,0.34088947368421,0.0371813397129187,0.34088947368421,"DV",0.904222996039874,0.187946657060523,0.105690167462069,"(-0.000734,0.204]"
"38",38,"ELTE","Laridae (Gulls, Terns, Skimmers)","Elegant Tern","Thalasseus elegans","ROYT-ELTE","NT",0.00045526758834054,0.00098367017196771,0.00143893776030827,0.01952,0.308,0.7498942,0.159350327988917,0.379047368421053,0.122865046587761,0.379047368421053,"DV",0.938709090081478,0.149583601390662,0.112171875097969,"(-0.000734,0.204]"
"39",39,"LAAL","Diomedeidae (Albatrosses)","Laysan Albatross","Phoebastria immutabilis","LAAL","NT",7.84255504944731e-05,0.00012612323980047,0.00020454879029494,0.01054,0.085,0.7498942,0.00782204827044734,0.0856263157894737,0.0663301687232435,0.0856263157894737,"DV",0.673522918658109,0.00526832878099631,0.0039506891965622,"(-0.000734,0.204]"
"40",40,"TUPU","Alcidae (Auks)","Tufted Puffin","Fratercula cirrhata","TUPU","LC",0.00048040983219892,0.00063547194810142,0.00111588178030035,3e-05,0.331,0.5623413,0.119693365643543,0.409310526315789,0.00016295643414757,0.409310526315789,"DV",0.96606013018344,0.115630988395695,0.06502408033472,"(-0.000734,0.204]"
"41",41,"MAMU","Alcidae (Auks)","Marbled Murrelet","Brachyramphus marmoratus","MAMU","EN",0.00026800764523153,0.00033262059132364,0.00060062823655518,0.00036,0.555,1.3335214,0.056443057191979,0.704047368421053,0.00224051876101738,0.704047368421053,"DV",1.23243547726342,0.069562426128603,0.0927629838784112,"(-0.000734,0.204]"
"42",42,"PECO","Phalacrocoracidae (Cormorants)","Pelagic Cormorant","Urile pelagicus","PECO","LC",0.00041616711985869,0.000592189841868,0.0010083569617267,0.00116,0.159,0.5623413,0.106494081478414,0.182994736842105,0.00727703349282297,0.182994736842105,"DV",0.76152191724703,0.0810975771029036,0.045604516934897,"(-0.000734,0.204]"
"43",43,"PIGU","Alcidae (Auks)","Pigeon Guillemot","Cepphus columba","PIGU","LC",0.00061986054934375,0.00107741680546821,0.00169727735481197,0.00023,0.583,0.5623413,0.19106298525439,0.74088947368421,0.00142208511709897,0.74088947368421,"DV",1.26573239564841,0.241834610045777,0.135993588998135,"(-0.000734,0.204]"
"44",44,"COLO","Gaviidae (Loons)","Common Loon","Gavia immer","COLO","LC",0.00061481147462737,0.0015523501255945,0.00216716160022188,0.00067,0.476,0.5623413,0.248743953817327,0.6001,0.00419216821959204,0.6001,"DV",1.13849060039146,0.283192653325235,0.159250924821362,"(-0.000734,0.204]"
"45",45,"DCCO","Phalacrocoracidae (Cormorants)","Double-crested Cormorant","Nannopterum auritus","DCCO","LC",0.00039574538548899,0.0006427670125975,0.00103851239808649,0.00164,0.154,0.5623413,0.110195833119722,0.176415789473684,0.0102989423319063,0.176415789473684,"DV",0.755576038963995,0.083261331098937,0.0468212851699066,"(-0.000734,0.204]"
"46",46,"BRAC","Phalacrocoracidae (Cormorants)","Brandt's Cormorant","Urile penicillatus","BRAC","LC",0.00021468309996313,0.00048327759529806,0.0006979606952612,0.00116,0.124,0.5623413,0.0683911711064552,0.136942105263158,0.00727703349282297,0.136942105263158,"DV",0.719900769265784,0.0492348566905249,0.0276867933166635,"(-0.000734,0.204]"
"47",47,"COPE","Procellariidae (Petrels, Shearwaters)","Cook's Petrel","Pterodroma cookii","COPE","VU",4.91088884457386e-05,9.2534078403836e-05,0.00014164296684957,0.00044,0.196,1,1e-04,0.231678947368421,0.00274417023419793,0.231678947368421,"DV",0.80552141654149,8.0552141654149e-05,8.0552141654149e-05,"(-0.000734,0.204]"
"48",48,"CATE","Laridae (Gulls, Terns, Skimmers)","Caspian Tern","Hydroprogne caspia","CATE","LC",0.00035777760394885,0.0006334936622279,0.00099127126617675,0.01513,0.392,0.5623413,0.104396714993967,0.489573684210526,0.0952271719969781,0.489573684210526,"DV",1.03859984523647,0.10842641203593,0.0609726494986206,"(-0.000734,0.204]"
"49",49,"GUMU","Alcidae (Auks)","Guadalupe Murrelet","Synthliboramphus hypoleucus","SCMU-GUMU-CRMU","EN",0.00050674092425765,0.00134927726120332,0.00185601818546098,0.00058,0.537,1.3335214,0.210549326734795,0.680363157894737,0.00362556031226391,0.680363157894737,"DV",1.21103031544449,0.254981617572264,0.340023443639231,"(0.204,0.408]"
"50",50,"SCMU","Alcidae (Auks)","Scripps's Murrelet","Synthliboramphus scrippsi","SCMU-GUMU-CRMU","VU",0.00050674092425765,0.00134927726120332,0.00185601818546098,0.00055,0.537,1,0.210549326734795,0.680363157894737,0.0034366910098212,0.680363157894737,"DV",1.21103031544449,0.254981617572264,0.254981617572264,"(0.204,0.408]"
"51",51,"CRMU","Alcidae (Auks)","Craveri's murrelet","Synthliboramphus craveri","SCMU-GUMU-CRMU","VU",0.00050674092425765,0.00134927726120332,0.00185601818546098,7e-04,0.589,1,0.210549326734795,0.748784210526316,0.00438103752203475,0.748784210526316,"DV",1.27286744958806,0.268001384533401,0.268001384533401,"(0.204,0.408]"
"52",52,"MUPE","Procellariidae (Petrels, Shearwaters)","Murphy's Petrel","Pterodroma ultima","MUPE","LC",0.00010630022130155,0.00025756810163128,0.00036386832293284,0.00049,0.208,0.5623413,0.0273794287174801,0.247468421052632,0.00305895240493578,0.247468421052632,"DV",0.819791524420775,0.022445423606073,0.0126219886896898,"(-0.000734,0.204]"
"53",53,"ANMU","Alcidae (Auks)","Ancient Murrelet","Synthliboramphus antiquus","ANMU","LC",0.00026918059541222,0.00030498046650971,0.00057416106192194,0.0011,0.494,0.5623413,0.0531940606936225,0.623784210526316,0.00689929488793755,0.623784210526316,"DV",1.15989576221039,0.0616995655732949,0.0346962139139219,"(-0.000734,0.204]"
"54",54,"RTLO","Gaviidae (Loons)","Red-throated Loon","Gavia stellata","RTLO","LC",0.00039932276888838,0.00067189521113728,0.00107121798002567,0.00208,0.57,0.5623413,0.114210629661838,0.723784210526316,0.0130690254343994,0.723784210526316,"DV",1.25027311211252,0.142794479383637,0.0802992331694175,"(-0.000734,0.204]"
